,positivo
458,"Hicimos una breve gira por España que incluyó visitas a Madrid, Sevilla, Valencia y Barcelona. Este fue nuestro hotel favorito. El personal fue excelente y nos ayudó a identificar dónde podíamos conseguir algunos scooters eléctricos. La piscina y el bar de la azotea fueron un éxito con nuestros hijos. el desayuno fue muy bueno. estás a poca distancia del área de ciencias y artes. El centro de Valencia está a poca distancia en Uber. Ya estamos pensando en volver a Valencia y nos alojaríamos aquí de nuevo."
459,"ambiente maravilloso, ubicación muy práctica ya que está a solo unos pasos de toda la gran arquitectura realizada por caratrava, ciudad de las artes. y caminamos por partes de los jardines del turia y hasta el centro. Magníficas vistas desde el bar de cócteles del noveno piso. El mejor desayuno buffet que hemos tenido jamás. Realmente lo recomiendo, es una familia, romántico para una pareja. es genial para ambos. volveremos otra vez"
460,Ubicación perfecta y hermoso hotel. Theo en la recepción fue increíble.
461,"El hotel estaba muy limpio y el personal era acogedor y amable. Buena ubicación, el bar de la azotea era increíble, ofrecía excelentes vistas y un ambiente relajante. No cenamos en el hotel, ya que optamos por explorar restaurantes locales. El área de la piscina era pequeña y solo estaba disponible para los huéspedes del hotel, no como el bar de la azotea, y como la visitamos a fines de septiembre, no estaba abarrotada, lo que la convirtió en una experiencia agradable."
462,la habitación era cómoda y la ubicación es genial! la vista también es hermosa.
463,"este hotel está situado a unos 2 km del centro de valencia. Nos asignaron una habitación en el sexto piso con una vista magnífica del complejo de artes y ciencias, a poca distancia a pie. El autobús número 19 para justo en la puerta principal, por lo que puedes llegar al centro de la ciudad en 15 minutos por 1,50. Estacionamos el auto debajo del hotel. bastante caro pero muy conveniente. No utilizamos el restaurante para cenar, pero el desayuno era excelente. Por cierto, soy de Australia, no de Hong Kong. Los imbéciles de booking.com parecen no poder corregir el error en su sistema."
464,excelente desayuno
465,"Ubicación perfecta, personal estupendo, limpio, gran bar en la azotea, buen desayuno. las habitaciones son grandes, cama cómoda"
466,"Excelentes almohadas, cama realmente cómoda."
467,"Desayuno perfecto, habitaciones limpias y toallas."
468,"Perfecta ubicación, habitaciones amplias, techos altos. desayuno - personal fabuloso excelente - vista profesional pero agradable desde mi habitación fabulosa - si su presupuesto lo permite, tenga la vista de la atracción"
469,"Hotel realmente limpio y moderno. personal muy amable y servicial. Incluso obtuvimos una actualización gratuita. Considerándolo todo, una muy buena experiencia."
470,"Estándar superior para hoteles similares en Valencia. Buenas instalaciones. El personal excepcional y extremadamente profesional supera las expectativas en el trato al cliente. Desayuno excepcional, a la altura de su reputación."
471,"propiedad de muy alto nivel y personal extremadamente profesional. El trato al cliente fue excepcional. propiedad en muy buenas condiciones excelente desayuno, acorde con su reputación, tiene instalaciones adicionales en comparación con hoteles similares en valencia, p. azotea, pequeña piscina, pequeño gimnasio"
472,buena ubicación
473,central
474,"Excelente habitación limpia, meticulosamente limpiada a diario, excelente desayuno, vistas increíbles desde el bar de la azotea"
475,"Excelente ubicación para el parque de las artes y las ciencias. parada de autobús justo enfrente de la puerta que le llevará al casco antiguo. cada 15 min y 1,50. Gran desayuno, habitación espaciosa con una enorme cama extragrande. muy limpio. decoración moderna. El bar de cócteles de la azotea tiene magníficas vistas al parque de las artes y las ciencias. personal amable y conocedor. El aparcamiento costaba solo 18 por noche de estancia. La información de la reserva dice que es una tarifa de 24 horas, pero en realidad es más larga. Llegamos al mediodía pero no salimos al día siguiente hasta las 4 p.m. y no nos cobraron por cumplir con un segundo período de 24 horas. El hotel nos dijo que estaríamos bien hasta las 8 pm del día siguiente."
476,buena ubicación.
477,"Tuvimos una estancia encantadora aquí, la habitación era de gran tamaño con una cama enorme y un sofá. el personal era encantador y el desayuno era increíble. Había excelentes opciones sin gluten: panecillos y pasteles empaquetados, además de tortillas y frutas que naturalmente no contienen gluten. También había todo tipo de leche que pudieras desear y yogures sin lactosa. La ubicación es buena, a pocos minutos a pie de la Ciudad de las Artes y las Ciencias y del parque y con fácil acceso en autobús al centro de la ciudad. Nos gustó la zona de la azotea, pero la piscina era un poco tonta, muy pequeña."
478,"Muy buen hotel y una excelente ubicación, cerca del nuevo y futurista les arts, hemisferic y aqua park valencia. Perfecta línea de autobús 19 justo enfrente del hotel. Lo usamos para ir al centro de la ciudad, pero también a la playa. Impresionante vista desde lo alto del hotel, con piscina. Todo fue perfecto: la habitación, el personal, el desayuno. Las señoras de la limpieza fueron tan rápidas que siempre encontramos la habitación limpia mientras tomábamos el desayuno: . Cambio de toallas todos los días, así como servicio de habitaciones. El desayuno estuvo al alcance de todos, muy bueno, para todos: tortilla de huevos preparados en el lugar, revueltos, verduras, frutas, dulces,... y así, y así, para todos."
479,Las habitaciones comunicadas para familias eran increíbles: un gran espacio para una estancia estupenda con 2 adultos y 2 adolescentes. el desayuno era genial y la ubicación fabulosa
480,excelente ubicación. gran desayuno. personal servicial
481,La ubicación es excelente y las habitaciones tienen un bonito diseño.
482,"got upgraded for both rooms, wonderful views across the city ciudad al atardecer cara radiante con ojos sonrientes"
483,"Habitaciones bonitas y realmente grandes, diseño atractivo, bar adicional en la azotea con vistas únicas y una pequeña piscina impresionante en la azotea. Baño grande y acogedor. La ubicación es la mejor, muy cerca de la Ciudad de las Artes y del Museo del Parque Oceanográfico. cerca de los pocos centros comerciales y de todas las buenas conexiones de tráfico. El taxi hacia o desde el aeropuerto cuesta alrededor de 20 euros."
484,hermosa ubicación
485,"Recientemente nos alojamos en el hotel barceló en valencia y tuvimos una experiencia maravillosa. la ubicación es excelente, situada justo al lado de la ciudad de las artes y las ciencias, y cerca de numerosos restaurantes y cafeterías. las camas eran muy cómodas y las habitaciones estaban impecablemente limpias, lo que hizo que la estancia fuera muy agradable."
486,todo limpio posición cómoda
487,"Cortinas opacas, cama y almohadas cómodas, muy buen desayuno. El personal de recepción es muy agradable y el almacenamiento de equipaje está bien organizado."
488,ubicación
489,"El personal fue amable y servicial. La habitación era de buen tamaño, con una cama cómoda y un aire acondicionado muy necesario. Había instalaciones para preparar té y café que no recuerdo haber estado en la lista. buena provisión de artículos de tocador. ¡el desayuno fue magnífico! selección fabulosa a cualquier hora que llegue. Aunque está a unos 40 minutos a pie del casco antiguo, el complejo de ciencias y artes con su maravillosa arquitectura estaba a la vuelta de la esquina y tanto la ciudad como las playas del puerto deportivo son fácilmente accesibles en autobús. Hay boletos de uso múltiple disponibles y también puede obtener uno para cubrir el viaje al aeropuerto."
490,La terraza de la piscina era genial. a poca distancia de la playa.
491,"lugar súper conveniente. Personal amable y servicial, excelente vista de la ciudad desde el bar de la azotea y excelente desayuno."
492,"Mi esposa se tomó más tiempo para encontrar esta ubicación bellamente centralizada para una estadía de una noche al lado del área central del museo de artes y ciencias. Esta zona era un espectacular parque acuático con una arquitectura muy moderna. También caminamos hasta la playa y la zona de restaurantes, la playa de las arenas, que estaba a unos 2 km. Nuestra habitación era grande, con dos dormitorios para acomodar a mi esposa y a mí, así como a nuestro hijo adulto. el baño era grande. la vista desde nuestra ventana nos permitió ver el océano y los museos de arte y ciencia que se encuentran debajo. La guinda de nuestra estancia fue el desayuno buffet de la mañana, que estaba incluido. Este hotel internacional tenía una oferta bastante multicultural y era espectacular, sabroso y el servicio fue increíble al mantener nuestros platos limpios. la selección de cafés y tés fue genial. Recomiendo ampliamente el barceló valencia."
493,"Disfrutamos de la decoración moderna del hotel, el excelente servicio, las cómodas comodidades, la ubicación privilegiada y la variada selección de desayunos."
494,excelente hotel en buena ubicación. Gran bar en la azotea y piscina. Habitaciones bien equipadas con buen aire acondicionado y persianas opacas. Los taxis siempre están disponibles afuera. A poca distancia del centro oceanográfico.
495,"buena ubicación, buen servicio, buena vista. ¡Todo aquí es perfecto!"
496,"La ubicación era fantástica, el desayuno era fantástico y las habitaciones eran estupendas."
497,excelente ubicación y soy un desayuno increíble
498,"Me gustó la habitación del hotel, tenía unas vistas estupendas y estaba bien cuidada."
499,la habitación era realmente cómoda y tranquila. Nos gustó mucho la terraza de la azotea y la ubicación. La parada de taxis fuera del hotel era extremadamente conveniente.
500,muy muy cómodo. Diseño de habitaciones moderno y funcional. Todo como se anuncia. excelente personal y servicio de habitaciones. No me puedo quejar de nada.
501,buena ubicación y fácil aparcamiento
502,"Me encanta este hotel. Está bien, está fuera de la ciudad, pero es fácil llegar en autobús o taxi. Frente al increíble bioparque y cerca del puerto y la playa."
503,"Nos encantó la ubicación. No desayunamos porque nuestros amigos no desayunan. Usamos el restaurante por la noche y pensamos que la comida era excelente. La habitación era muy grande. Nos encantó el bar de la azotea. Deberías animar a la gente a usar el restaurante, ya que no hablamos español. Descubrimos que los restaurantes locales no nos atendieron."
504,la pared corrediza que aislaba todo ruido del pasillo y el desayuno es de 5 estrellas. Nunca tuve algo mejor.
505,El hotel era moderno con un impresionante bar en la azotea y estaba en una excelente ubicación con vista al centro oceanogràfic. fácil viaje en taxi a la zona de la playa y un agradable paseo hasta el casco antiguo
506,"hotel encantador. Excelente ubicación para explorar Valencia, bar en la azotea que brinda un excelente lugar para relajarse mientras sale el sol."
507,"Realmente disfrutamos del restaurante del hotel tanto para la cena como para el desayuno, especialmente el desayuno tenía mucha variedad para elegir. Definitivamente lo recomendaré a mis amigos."
508,"Hotel bien mantenido, limpio, buenas opciones de comida para el desayuno, buen tamaño de la habitación."
509,"La habitación está limpia, el personal es agradable y el ambiente en general es bueno. la ubicación es buena."
510,"El tamaño y la configuración de la habitación, el desayuno y el personal eran absolutamente de alto nivel. Disfruté de la ubicación, cerca del parque y a pocos minutos en taxi del puerto deportivo y del centro de la ciudad."
511,todo simplemente excepcional
512,todo es mas fabuloso
513,Todo es buena habitación y estar muy cómodo. El desayuno es tan delicioso.
514,muy bonita habitación. personal súper amable. maravillosa ubicación.
515,"el hotel es precioso. Era el cumpleaños de mi marido cuando llegamos había una botella de champán, un trozo de deliciosa tarta de queso vasca y una tarjeta de cumpleaños del hotel en nuestra habitación. El bar de la azotea era impresionante al atardecer."
516,hermoso hotel moderno. personal servicial y posición fabulosa.
517,"Preciosa habitación: pagué un poco más por una habitación más grande con una gran vista, lo cual valió la pena. Precioso bar en la azotea con buen ambiente y fabulosas vistas. El nivel de limpieza era realmente alto."
518,Hotel muy bonito y moderno cerca de la Cité des Arts. cómodas habitaciones. personal amable. estacionamiento en el lugar
519,la ubicación es perfecta
520,"El desayuno fue excelente, con una variedad de opciones que incluían muchos jugos saludables para mí y opciones de carne para mi hijo. el hotel es limpio y moderno. Llegamos temprano, pero la habitación estaba lista y nos dejaron entrar. Ojalá pudiéramos quedarnos más de una noche. Este fue el mejor hotel de los cuatro de nuestro viaje. Elegí este hotel porque habíamos estado antes en los complejos Barcello en México y en la República Dominicana y los amábamos mucho. Esta vez no nos decepcionó."
521,"Nos gustaron todas las instalaciones, el desayuno era fantástico y había mucha variedad. El personal fue muy servicial con un excelente inglés, me gustaron mucho las instalaciones del bar de la azotea, nos alojaremos allí de nuevo."
522,"Restaurante decente, servicio muy amable, excelente desayuno, cama cómoda. No hay ruido de las habitaciones circundantes. Hubo algo de ruido afuera pero fue debido a todos los fuegos artificiales del último día de las fallas 19 3 . Difícilmente se puede evitar en Valencia. El bar de la azotea se veía bien, pero como estaba en Valencia por trabajo, decidí no pasar tiempo allí."
523,la ubicación y las instalaciones son geniales. excelente desayuno.
524,"El hotel estaba bien ubicado, el transporte público era fácilmente accesible y las instalaciones eran muy buenas."
525,todo el personal fue amable y acogedor. gran servicio en todos lados. No puedo criticarlos. Nos hicieron sentir muy bienvenidos.
526,limpio y la ubicación era buena
527,"El personal fue fantástico, ubicación perfecta, gran hotel."
528,Las habitaciones eran de buen tamaño y excelente ubicación.
529,"habitación- muy moderna. Disposición única donde el baño ocupaba una cuarta parte de la habitación, separado por una gran puerta corredera. La bañera puede estar resbaladiza; necesita una alfombra de baño o algún tipo de revestimiento antideslizante. De lo contrario, excelente. cama muy cómoda. Ventana- Persiana black out con cierre eléctrico exclusivo. ubicación: está justo enfrente de la ciudad de las artes y las ciencias. muy hermosa vista."
530,"Ubicación conveniente, excelente desayuno, agradable bar en la terraza, gimnasio."
531,"Buena ubicación, aparcamiento en la calle disponible cerca de 30 a 40 minutos a pie del centro histórico. buena caminata en bicicleta corriendo directamente desde el hotel."
532,"el desayuno fue excelente. Las instalaciones estaban muy limpias y la ubicación estaba a unos 20 minutos del metro más cercano, por lo que se podía caminar con solo una mochila."
533,"El personal fue increíble, la habitación era encantadora y el bar de la azotea lo remató todo."
534,"servicio, ubicación y valor"
535,desayuno y habitación
536,"Excelente ubicación, personal amable y servicial, habitación preciosa."
537,excelente ubicación. barra en la azotea
538,"¡Qué vista desde la ventana de la habitación! Todo estaba bien en la habitación, la cama enorme y el bar en la azotea genial."
539,"Amplia habitación en el 7mo piso con linda vista, cama doble grande y mesa de trabajo con varios enchufes y Smart TV. Cuarto de baño grande con WC separado y bidé, algo que siempre se agradece. Había una puerta corredera que separaba el baño de la habitación, lo que lo mantenía tranquilo ya que mi habitación estaba al otro lado del ascensor. También disfruté del bar-restaurante en el piso 10 con una vista aún mejor, a pesar de que hacía un poco de viento allí arriba. La zona también era agradable, con algunos buenos restaurantes alrededor."
540,"El hotel estaba muy bien ubicado, no muy cerca del centro, pero justo al lado de la ciudad de las ciencias. El desayuno era excelente, muy variado, rico y sabroso."
541,Nos encantó la ubicación: es muy fácil llegar a todo lo que queríamos hacer en este viaje y las vistas fabulosas tanto desde nuestra habitación como desde el fantástico bar de la azotea. el personal era servicial y nuestra habitación estaba impecable y era cómoda.
542,"Habitación espaciosa y moderna en una excelente ubicación junto al parque científico. Ideal si conduce hacia la ciudad y necesita un garaje seguro para estacionar. El bar de la azotea fue un verdadero factor sorpresa, genial para ver la puesta de sol sobre la ciudad. El desayuno buffet era excelente, el personal era muy amable y servicial."
543,"Este hotel superó mis expectativas por lo fácil que es tomar un autobús o un taxi. El personal es muy educado y servicial, gracias."
544,La ubicación y las vistas desde la habitación asignada. Habitaciones bonitas y limpias y cama cómoda cerca del transporte público para desplazarse.
545,Increíble azotea con excelentes vistas. El hotel está en una ubicación perfecta: a 20 minutos a pie de donde se encuentra la excelente comida y a unos 10 minutos en autobús hasta el centro.
546,"este moderno hotel ofrece una gran habitación y comodidades. Puedes pagar más para tener una mejor vista, pero pasamos más tiempo explorando que en la habitación. Hay un bar en la azotea y un área de piscina que le permiten ver todos los edificios al otro lado de la calle, como los museos y el acuario. La azotea se llena rápidamente pero se apresuraron a encontrarnos una mesa. Hay un increíble restaurante, Restaurante la Mar, que fue recomendado por el personal del hotel y no puedo decir lo suficiente sobre la comida allí. desayunan por la mañana pero decidimos comer en un pequeño café al otro lado de la calle."
547,"la habitación era excelente, la cama, aunque dos camas individuales juntas, era muy cómoda; solo desayunamos una vez allí, ya que nos pareció que 14 euros cada uno era un poco caro, pero tenía una buena selección de comida, pero como no vamos a desayunar, la gente no habría obtenido una buena relación calidad-precio, sinceramente, pero si hubieras hecho todo lo posible, supongo. hotel y personal muy buenos"
548,"Me encantó la piscina de la azotea, aunque es una pena que no estuviera abierta más temprano en las mañanas. Habitación enorme, muy cómoda, baño e instalaciones encantadores. Buena ubicación, cerca de algunas cafeterías decentes y a poca distancia de la ciudad, además de estar cerca de las estaciones de conexión para bicicletas de la ciudad, que eran excelentes para moverse."
549,"Esta propiedad es realmente agradable, el personal es excelente y extremadamente servicial, el servicio de habitaciones es fabuloso. El mantenimiento de la casa también es excelente."
550,"Muy buen desayuno, limpieza, personal muy amable y servicial."
552,equipo de desayuno confort en la azotea
553,"habitación limpia, buena ubicación, bonito baño"
554,las habitaciones son grandes y preciosas. el personal es amable. El bar de la azotea es realmente bueno y el aire dentro del hotel siempre huele increíble.
555,el personal fue excelente. extremadamente servicial y amigable. excelente ubicación y desayuno. En realidad nos alojamos por un total de seis noches.
556,"La ubicación es realmente buena. Fácil acceso al aeropuerto, al casco antiguo, al centro comercial, a la playa y a los restaurantes. El aparcamiento interior es útil para coches alquilados como yo."
