,comentario_general
430,cómodo en excelente ubicación
431,hotel superior
432,agradable estancia
434,excepcional
436,"Hotel bien ubicado, excelente desayuno, mal servicio del personal."
437,excepcional
438,"gran elección, cómodo y bien ubicado"
439,excepcional
440,gran hotel en una excelente ubicación.
445,muy satisfecho con mi elección.
446,me alojaría allí de nuevo
448,excelente hotel. personal de recepción amable buen desayuno
449,¡Fue un gran viaje familiar!
450,excepcional
453,Fue muy agradable y valió la pena pagar más por la vista: el Palau de les Arts se ve increíble por la mañana y por la noche.
455,gran hotel.
456,estancia perfecta! ¡Esperando con ansias mi próximo pronto!
457,excepcional
458,Gran lugar y excelente personal.
459,una verdadera joya a solo pasos de las maravillas hechas por caratrava
460,excepcional
461,lo recomiendo mucho
463,"Un hotel absolutamente excelente, perfecto para explorar Valencia."
465,"Este hotel tiene una ubicación perfecta, reservamos para una sorpresa número 50 con amigos. Este hotel cumplía muchos requisitos."
466,excepcional
467,excepcional
468,fabuloso hotel y ubicación
469,gran experiencia
470,simplemente un hotel de alto nivel
471,barceló cumplirá con sus expectativas
472,maravilloso
473,"Fue perfecto para una estancia de una noche, relación calidad-precio."
474,brillante estancia en el hotel
476,Hotel realmente bonito con buena ubicación y restaurantes cerca.
477,Precioso hotel con desayuno increíble.
478,"un gran hotel, ubicación perfecta en una hermosa ciudad"
480,relajante y amigable
481,"Bonito hotel en una gran zona de Valencia, moderno, limpio y cómodo."
484,fantástico
485,excelente ubicación y comodidad
486,excelente
487,cama cómoda y buenos desayunos
488,personal fantástico desayuno encantador estupenda ubicación
489,"buena ubicación, desayuno increíble, personal amable"
490,gran hotel
492,"Barceló Valencia superará sus expectativas con una gran habitación, ubicación y un fantástico desayuno."
493,Disfrutamos de una estancia encantadora y relajante en este hermoso hotel.
495,perfecto
496,Es una estancia obligada si estás en Valencia.
497,gran hotel se alojaría de nuevo
498,"Está bien, pero regresaría rápidamente, excepto por la vista."
499,excepcional
500,10 10 quédate.
501,"gente encantadora, gran servicio y excelente ubicación"
502,"Aunque tuve un accidente durante mi estancia en el hotel y me rompí el tobillo, no podrían haber estado más preocupados ni ayudados."
503,"Buen hotel, excelente ubicación, personal agradable en general, una gran experiencia."
504,Me alojaría en cualquiera de sus hoteles basándose en esta experiencia y viajo cada 6 semanas. la mejor experiencia hotelera
505,Excelente hotel y definitivamente volveremos a reservar.
507,excepcional
510,"Ubicación perfecta, excelente alojamiento y muy buen desayuno."
511,desayuno increíble! encantador hotel
512,excelente volvería a reservar
515,hermoso barceló
516,escapada perfecta a la ciudad con la diversión de las fallas.
517,"Realmente una excelente base, una zona preciosa muy cerca del antiguo paseo del río. Definitivamente me quedaría allí de nuevo."
518,excelente hotel moderno cerca de la Cité des Arts
519,excepcional
520,excepcional
521,"hermosa ciudad, excelente ubicación del hotel, ya lo he recomendado a otros"
522,excepcional
523,excepcional
524,la estancia fue fenomenal
525,el lugar ideal para descansar y estar cerca de los eventos de la ciudad.
526,estancia muy agradable
527,maravilloso hotel en una excelente ubicación.
528,"Bueno, lo recomendaría."
529,"excelente hotel - ubicación fantástica, decoración moderna."
532,agradable
533,"El personal fue increíble, la habitación era encantadora y el bar de la azotea lo remató todo."
534,gran lugar
536,Siempre nos encanta venir al Barceló en Valencia.
537,hotel fabuloso excelente ubicación
538,Ubicación ideal y el hotel estaba bien en todos lados.
539,una muy buena estancia!
540,recomiendo
541,"Excelente ubicación, muy cómodo, definitivamente regresaré."
542,excelente ubicación con excelente bar en la azotea
543,excelente desayuno es perfecto.
544,estancia de 4 noches
545,relajante con mucho que hacer
546,hotel moderno y elegante con increíble salón en la azotea
547,Muy buena relación calidad-precio: central para la ciudad y la playa.
548,"ubicación conveniente, estancia encantadora"
549,"Mi estancia fue estupenda, definitivamente me alojaría allí en mi próxima visita."
550,muy contento
551,hermoso
552,Absolutamente enamorado de este hotel y de Valencia.
554,increíble ubicación para una escapada a la ciudad
555,excelente hotel. Definitivamente lo usaría nuevamente.
556,La ubicación y el alojamiento tienen una buena combinación para el placer y el trabajo.
557,Posiblemente nuestro hotel favorito en España.
558,excelentes habitaciones en excelente ubicación
559,superó mis expectativas! Elegiría este hotel una y otra vez
560,estaremos de vuelta
561,"gran desayuno, muy limpio y gran hotel"
562,El hotel con la mejor relación calidad-precio en el que recuerdo haberme detenido
563,una estancia agradable
564,excelente ubicación y buen ambiente
565,todo acerca de este hotel fue bueno
566,estancia corta antes de pasar a quedarse con la familia
567,increíble ubicación y personal amable
568,"hotel excepcional, con un gran servicio de todo el personal!"
569,"impresionante ubicación, gran hotel"
570,excepcional
571,¡muy lindo!
572,magnífico
573,en general muy satisfecho
574,gran opción
576,excepcional
577,Me encantó la ubicación. Lo pasé muy bien. Recomendaría altamente este hotel.
578,excepcional
580,estancia con clase en valencia
581,excelente hotel.
582,excelente hotel
583,excelente estancia
584,Un lugar genial para alojarse en Valencia.
585,"Precioso, ubicación perfecta, el personal era agradable. Sin embargo, no fueron muy atentos en el bar de la azotea, parecían simplemente"
586,"gran servicio, excelente ubicación, excelente desayuno"
587,excepcional
588,"Precioso hotel, ubicación perfecta, ¡lo recomendaría a otros viajeros!"
589,excepcional
590,era más de lo esperado
591,"gran hotel, excelente ubicación y excelente desayuno"
592,genial para una escapada de fin de semana.
593,"a poca distancia de la ciudad de las artes y las ciencias, excelente personal y habitaciones modernas"
594,muy buen hotel
596,excelente ubicación para una estancia cómoda y estupenda
597,"Excelente relación calidad-precio, me alojaré aquí de nuevo."
598,comodidad y ubicación en ciudad de les arts
599,excepcional
600,navidad en valencia
603,encantadora estancia.
609,"La habitación estaba bien, pero no creo que debería costar 200 euros por noche."
610,bonito pero....
611,the place to stay in valencia pulgar hacia arriba
612,"El personal era agradable, servicial y amable. la ubicación era buena y las conexiones de autobús a otras partes e"
613,estancia corta - estancia agradable de 1 día en valencia
614,"excel hotel barceló, limpio y moderno con un desayuno razonable"
615,un muy buen hotel en una excelente ubicación.
616,estuvo bien
618,una muy buena experiencia
619,estancia agradable pero breve en la parte moderna de valencia
621,Valencia es una ciudad hermosa con magníficos edificios y museos.
623,"desayuno increíble, excelente ubicación, habitaciones grandes."
624,bien
626,excelente
628,desayuno increíble
629,excepcional
630,encantador hotel
631,Excelente estancia en un hotel acogedor.
632,una sensación de cuatro estrellas a un precio competitivo
633,hotel con gran desayuno y personal servicial
636,cómodo y agradable
637,ubicación conveniente
639,Felices vacaciones en general... el personal del hotel es muy servicial y servicial. La paella de comida estuvo deliciosa cara saboreando comida
640,estancia perfecta en la bonita ciudad de valencia
641,Lo visitaría una vez más.
642,hotel moderno junto a la ciudad de las ciencias y las artes
643,el hotel estaba bien
644,agradable sorpresa
646,hotel excelente ubicación
647,cómodo y excelente ubicación
648,buena cama y relativamente nueva
649,excepcional
650,gran desayuno
651,BIEN
652,"Preciosa habitación con vistas increíbles, sin embargo, ciertas partes de la estancia fueron decepcionantes."
653,bonito pero una c está manipulada
655,"Excelente ubicación, buenas instalaciones y delicioso desayuno. sin embargo, era demasiado caro y parte del personal era"
656,decepcionante
657,"Está bien para viajes de negocios durante la noche, pero es demasiado caro para lo que obtienes."
659,Preciosa ubicación y me alojaría de nuevo!
660,clase ejecutiva cuatro estrellas
661,un gran lugar para quedarse
662,"Buena ubicación, pero la información previa a la reserva necesita más precisión."
663,BIEN
664,BIEN
665,BIEN
666,BIEN
667,BIEN
668,BIEN
669,aceptable
670,lamentable para el servicio
672,BIEN
673,BIEN
674,¡Desafortunadamente fue decepcionante!
676,última vez para toda nuestra empresa
677,sentimientos encontrados
678,"Buena ubicación y precio, pero las instalaciones y el personal no son tan buenos como se esperaba."
679,BIEN
680,muy mal
681,comodidad comprometida por un mal diseño. no es un hotel familiar
682,caliente e inmundo
683,fue suficiente para nuestra estancia
684,mal
685,muy mal
687,vacaciones de semana santa a valencia
688,Estamos muy decepcionados de que hayan tirado el libro que dejamos atrás.
689,excepcional
690,excepcional
693,"estancia agradable, interesante y relajante."
694,excelente ubicación
695,excepcional
696,fantástico
698,excepcional
699,¡súper!
700,excepcional
702,excepcional
703,excepcional
704,"Barceló, nunca me engañes. Amo"
706,
707,excepcional
709,una estancia perfecta
710,excepcional
711,Hotel muy sólido en una ubicación única con una hermosa vista de los edificios de Calatrava.
712,estancia agradable en el hotel
713,gran hotel urbano con mucho confort
714,cómodo y todo a poca distancia.
715,¡¡¡Me encantaría volver!!!
716,todo fue perfecto.
717,excepcional
720,"bonitas habitaciones, buen desayuno, buena ubicación"
721,excepcional
722,¡Hotel superior con buena ubicación y desayuno fantástico!
723,todo fue genial
724,un buen hotel
725,"el hotel con su ubicación, el personal muy hospitalario, las buenas instalaciones, el completo desayuno son 9,5. 9,5 para"
726,"agradable, cálido,"
728,Fantástica ubicación si quieres descubrir la ciudad en bicicleta. tanto en relación con los puertos como con el centro
729,realmente recomendado
730,"Tuve una experiencia agradable en Valencia y volvería a reservar este hotel sin más, cara radiante con ojos sonrientes"
732,", ,"
733,excepcional
734,excepcional
735,Magnífico
736,Buen hotel para una semana en Valencia.
737,comodidad y tranquilidad
739,excepcional
740,excepcional
741,todo perfecto!
742,"estancia muy agradable, habitación limpia y espaciosa, personal amable"
744,¡maravilloso!
745,excepcional
746,excepcional
747,"Excelente hotel, con un equipo profesional."
749,excepcional
750,excepcional
752,hotel superior
754,¡arriba!
755,realmente recomendado!
756,¡arriba!
757,satisfecho con mi visita
760,Muy recomendable para cualquiera que quiera descubrir Valencia.
761,buen fin de semana!
763,excepcional
765,todo ok
766,"Gran experiencia, bien organizada, limpia y perfecta ubicación."
769,¡Un hotel de primera categoría para familias!
771,¡Unas vacaciones perfectas durante las fallas salvajes en un hotel agradablemente tranquilo!
772,hermosa estancia y delicioso desayuno!
773,Se lo recomiendo a todos
774,una ubicación perfecta
775,vale la pena repetir
778,¡Su desayuno y su amabilidad fueron de primera categoría!
779,estancia maravillosa
780,Perfecto
781,excepcional
782,hotel comodo y funcional
783,estancia muy agradable!
784,todo me parece bonito
785,"Lugar súper cómodo, limpio y bien ubicado! ¡Recomiendo quedarse aquí!"
786,Muy bien
788,valencia de gira con smici
789,"estancia agradable, muy buen hotel"
790,relax a valencia
791,absolutamente recomendado.
793,Maravillosa estancia para repetir lo antes posible.
794,excepcional
795,"buena ubicación, genial bar en la azotea"
798,¡Mega hotel urbano para un kueztrip!
800,lujo. Volveré.
802,buen hotel.
803,"barceló, una garantía."
804,Fin de semana muy agradable en Valencia.
806,buenas vacaciones en valencia
808,mejor
809,arriba
810,perfecto para un grupo o negocio
811,"Tuve una estancia estupenda, personal super amable y servicial."
812,dias maravillosos
813,se recomienda
814,"Estancia muy agradable al principio. Ubicación conveniente, personal amable y buena relación calidad-precio."
815,excepcional
817,"Limpio y acogedor, ¡súper desayuno!"
819,hermoso hotel de 4 estrellas en una hermosa ubicación
821,excelente
822,excepcional
823,
825,excelente. me sentí bien
826,excepcional
828,"Estancia perfecta, una pena lo de la piscina."
829,¡excelente!
830,"Bueno, pero planea trabajar en nuestra habitación."
831,excepcional
833,¡Me encantó el hotel y su ubicación!
834,¡Estancia muy agradable en un hotel de primera en una ubicación privilegiada!
835,Magnífico
836,Escapada muy agradable en Valencia.
837,fantástico
838,suite familiar superior
839,excepcional
840,el mejor agradecimiento a todos los equipos de este establecimiento gracias.
841,"Bonito hotel, buen desayuno y cerca del transporte público."
842,Tuve una gran estadía
843,"¡Todo fue perfecto, lo pasamos genial!"
844,"¡Todo fue perfecto, lo pasamos genial!"
845,excepcional
846,¡súper!
847,bonito hotel moderno
848,excelente
852,¡Recomiendo!
853,maravilloso dia
854,excepcional
856,excepcional
857,volvería otra vez
858,excepcional
859,Perfecto
860,agradable y practico
861,encantador hotel
866,excepcional
867,excepcional
868,recomendado
869,excepcional
872,¡fue genial!
873,excepcional
874,excepcional
875,excepcional
876,parfait
877,¡Fue una estancia estupenda!
878,excepcional
879,Ubicación perfecta para visitar Valencia.
881,excepcional
882,¡Todo estuvo bien!
883,"Gran hotel, personal perfecto y un bar impresionante en la terraza de la azotea con vistas a Valencia."
884,prima
885,excelente hotel para viaje a la ciudad
886,excelente estancia
889,¡súper!
890,perfecta estancia de maratón
891,recomendado
892,excepcional
895,excelente
896,"Estancia maravillosa, ubicación perfecta y desayuno excelente."
897,todo es genial cuando conduces un coche pequeño
898,la base ideal para un exitoso viaje a la ciudad.
899,excelente sorpresa en una ubicación fantástica
900,excepcional
902,"Perfectamente ubicado, bonito hotel, habitaciones amplias."
905,excelente
906,estancia fantástica
907,gran hotel
909,gran hallazgo!!
910,¡gracias!
912,"moderno, acogedor, sabroso, amable."
914,gran hotel en una ubicación perfecta
915,excepcional
916,todo perfecto
918,Precioso hotel con un super desayuno.
920,"maravilloso, lo haría de nuevo"
921,"Buen hotel, buena ubicación, empleados serviciales."
923,excelente hotel con altos estándares
925,vacaciones.
926,fantástico
927,Estancia muy agradable y recomendable para visitar la ciudad de Valencia.
928,perfecta!
929,excepcional
930,¡Definitivamente regresaré! limpieza y desayuno arriba arriba arriba
931,Ubicación privilegiada para 1 día en Valencia.
932,excepcional
933,excepcional
934,"posición excepcional del hotel al lado de la ópera, oceanográfico"
935,"Valencia es realmente una ciudad que debes visitar, una ciudad bonita y fresca con mucho que ver."
936,¡Definitivamente regresaremos otra vez!
937,gran estancia
939,excepcional
941,buen hotel
943,voy a volver
944,excepcional
945,fue un gran hotel.
946,excepcional
947,Nos lo pasamos genial con una bicicleta que alquilamos enfrente del hotel.
948,por lo demás lo disfrutamos
949,¡arriba!
950,En recepción tuvimos un poco de mala suerte cuando llegamos. Una recepcionista llamada Berta fue la persona antipática que conocimos.
952,arriba
954,excepcional
955,excepcional
956,hermoso y deportivo
957,comodidad y calidad
958,vaya genial.
960,"Nos lo pasamos muy bien, volveremos a la misma espléndida habitación y disfrutaremos de la fantástica vista."
961,"¡Buena estancia, Picco Bello!"
962,valencia hermosa
963,Precioso hotel con un bonito bar en el décimo piso y excelente ubicación.
965,Cómodo hotel urbano incluso para estancias más largas
966,¡excelente!
968,hotel perfecto a nivel personal
969,un hotel ideal para una noche de estancia en la ciudad
972,Está bien
973,"Bonito hotel, buena ubicación, gran desayuno!"
974,Óptimo
975,excepcional
976,werden das hotel freunden weiterempfohlen cara feliz con ojos sonrientes
977,muy bien
978,un éxito
979,hotel encantador y muy céntrico!
980,buena ubicación central del hotel
982,buena relación precio-rendimiento
983,excepcional
985,fue gratamente bueno.
987,Bien
989,agradable
990,"excelente relación precio-rendimiento, selección de desayuno buffet superior a la media"
993,excepcional
994,"Muy buen hotel, lo cual no empeoró por el hecho de que teníamos grandes fuegos artificiales justo afuera de la ventana."
996,excepcional
999,asombroso
1000,bien
1001,Gran hotel para un viaje a la ciudad de Valencia.
1002,"Excelente ubicación, bonitas habitaciones y un abundante desayuno."
1003,"El hotel no dispone de ventanas insonorizadas, pero sí de persianas enrollables que impiden la luz. El desayuno buffet era muy bueno. Se recomienda el hotel"
1006,Realmente disfruté de mi estancia en el Barceló y recomendaría este hotel en cualquier momento.
1007,"ambiente tranquilo, amigable y relajado"
1008,bonito hotel buena ubicación
1010,hotel confortable con buena ubicación
1011,"Muy bueno, excelente desayuno y camas maravillosas."
1013,¡súper!
1016,hotel superior
1017,¡¡fantástico!!
1021,excelente ubicación y con una vista maravillosa
1022,Fantástica elección a este precio y ubicación.
1023,"buena ubicación, bonitas habitaciones, hermosa vista."
1024,Gran viaje corto a Valencia. Nos encantaría volver.
1025,súper
1026,"buena relación calidad-precio, excelente desayuno!"
1029,Delicioso
1030,habitación bonita y limpia con una gran vista y un personal amable
1031,excepcional
1032,Gran hotel urbano para el fin de semana. ubicación perfecta!
1034,super hotel con ubicación perfecta
1036,sobre la ciudad de las ciencias
1039,repetir acto preprogramado.
1040,"Excelente desayuno, lugar limpio y excelente ubicación."
1041,Hotel con buena ubicación y posible vista al parque.
1042,bueno pero no es gran sorpresa...
1043,buen hotel con habitaciones grandes
1044,una estancia agradable y relajante
1046,estancia agradable en un buen hotel.
1048,buena relación calidad-precio
1050,Viaje corto Valencia
1052,Definitivamente volvería a reservar
1053,una estancia excelente en una habitación espaciosa y la cama lo mismo.
1056,excelente
1059,¡Excelente base para un fin de semana en Valencia!
1060,buena ubicación y mejor calidad precio.
1062,excepcional
1063,"bien, ¡excepto por el problema mencionado anteriormente!"
1064,excelente
1065,valencia es una hora muy bonita!
1068,"Buena ubicación, edificio de diseño presenta defectos."
1069,ducha resbaladiza.
1070,agradable estancia
1071,BIEN
1072,hotel campana!
1073,aceptable
1074,volver a ver al personal de recepción.. Martes a las 18 h. excepto el guardia de seguridad que fue genial
1076,BIEN
1077,estancia agradable. Recomiendo el hotel
1079,BIEN
1080,BIEN
1081,Buena ubicación si quieres visitar lugares con niños.
1082,No volveré allí. decepcionante.
1083,es repetir
1084,BIEN
1086,BIEN
1087,En general fue bien pero me quedé una noche y no dos.
1090,"¡Lo pasamos muy bien, excelente sala, ubicación y equipo de catering!"
1091,unos días estupendos en Valencia
1092,básicamente de nuevo
1093,Hermosa ciudad y un gran hotel desde el cual puedes visitar fácilmente la ciudad.
1094,BIEN
1095,BIEN
1096,agradable pero puede mejorar
1097,BIEN
1099,Bueno con pequeños obstáculos en la habitación del hotel.
1100,muy pocos ascensores
1101,mantente bien
1102,BIEN
1103,hotel sólido. tiendas y buenos restaurantes cercanos. Se tarda un poco en llegar a la ciudad y al centro de la ciudad.
1104,"excelente hotel, instalaciones mediocres"
1105,bueno en general
1106,Excelente ubicación pero todo el entretenimiento se buscó fuera del hotel.
1107,decepcionante
1108,BIEN
1109,La excelente ubicación no lo compensa...
1110,transitable para 4 estrellas
1111,¡Ruido ruido y más ruido de la concurrida intersección día y noche!
1112,un poco decepcionante; fue mejor
1113,"Si buscas un sueño tranquilo, no te arriesgues"
1114,gloria desvanecida
1115,mediocre
1116,muy bonito y acogedor!
1119,mal
1120,aceptable
1121,Parece una cosa pero ofrece otra.
1122,"¡Promedio, no pude dormir por el mal olor!"
1123,aceptable
1124,mal
1125,excelente ubicación
1126,mal
1127,bar270 un sueño
1129,Disfruté de esta maravillosa ciudad.
1130,súper
1133,excepcional
1135,excepcional
1140,excepcional
1141,excepcional
1142,excepcional
1143,excepcional
1145,excepcional
1150,excepcional
1151,excepcional
1155,excepcional
1158,excepcional
1159,excepcional
1160,excepcional
1162,excepcional
1163,excepcional
1166,excepcional
1167,excepcional
1169,excepcional
1171,excepcional
1172,excepcional
1175,excepcional
1176,excepcional
1178,excepcional
1180,excepcional
1182,excepcional
1183,excepcional
1184,excepcional
1185,excepcional
1186,excepcional
1187,excepcional
1190,excepcional
1192,excepcional
1193,excepcional
1194,excepcional
1195,excepcional
1196,excepcional
1197,excepcional
1199,excepcional
1202,excepcional
1205,excepcional
1207,excepcional
1208,excepcional
1209,excepcional
1211,excepcional
1213,excelente
1215,excepcional
1216,excepcional
1218,excepcional
1220,excepcional
1221,excepcional
1222,comodidad garantizada!
1223,excepcional
1224,excepcional
1225,excepcional
1226,excepcional
1227,excepcional
1233,excepcional
1235,excepcional
1236,excepcional
1238,excepcional
1239,excepcional
1241,excepcional
1242,excepcional
1244,excepcional
1245,excepcional
1246,excepcional
1247,excepcional
1248,excepcional
1250,excepcional
1251,excepcional
1252,excepcional
1253,excepcional
1254,excepcional
1255,excepcional
1256,excepcional
1258,excepcional
1261,excepcional
1263,excepcional
1264,excepcional
1266,excepcional
1267,excepcional
1268,excepcional
1272,excepcional
1273,excepcional
1274,excepcional
1276,excepcional
1277,excepcional
1278,excepcional
1281,excepcional
1282,excepcional
1285,excepcional
1286,excepcional
1287,excepcional
1292,excepcional
1293,excepcional
1295,excepcional
1296,excepcional
1297,excepcional
1299,excepcional
1304,excepcional
1305,excepcional
1306,excepcional
1308,excepcional
1309,excepcional
1310,excepcional
1311,excepcional
1312,excepcional
1313,excepcional
1317,excepcional
1319,excepcional
1323,excepcional
1324,excepcional
1326,excepcional
1328,excepcional
1332,excepcional
1333,excepcional
1334,excepcional
1337,excepcional
1339,excepcional
1343,excepcional
1344,excepcional
1346,excepcional
1347,excepcional
1348,excepcional
1353,excepcional
1355,excepcional
1357,excepcional
1358,excepcional
1360,excepcional
1361,excepcional
1363,excepcional
1364,excepcional
1366,excepcional
1367,excepcional
1369,excepcional
1375,excepcional
1377,excepcional
1378,excepcional
1379,excepcional
1380,excepcional
1383,excepcional
1384,excepcional
1385,excepcional
1389,excepcional
1390,excepcional
1391,excepcional
1394,excepcional
1402,excepcional
1407,excepcional
1409,excepcional
1422,excepcional
1436,excepcional
1456,excepcional
1458,excepcional
1463,BIEN
1466,BIEN
1467,BIEN
1468,BIEN
1471,BIEN
1472,BIEN
1473,BIEN
1475,BIEN
1476,BIEN
1478,BIEN
1479,BIEN
1480,aceptable
1481,BIEN
1483,BIEN
1484,BIEN
1485,aceptable
1486,BIEN
1487,BIEN
1488,BIEN
1489,BIEN
1490,BIEN
1491,BIEN
1492,BIEN
1493,BIEN
1494,BIEN
1495,BIEN
1497,mal
1498,BIEN
1499,aceptable
1502,mal
1503,BIEN
1504,pésimo
1505,pésimo
1506,pésimo
1507,BIEN
1514,excepcional
1516,excepcional
1517,excepcional
1518,excepcional
1519,excepcional
1521,excepcional
1524,excepcional
1526,excepcional
1528,excepcional
1529,excepcional
1530,excepcional
1532,excepcional
1533,excepcional
1536,excepcional
1537,excepcional
1538,excepcional
1539,excepcional
1540,excepcional
1541,excepcional
1542,excepcional
1544,excepcional
1547,excepcional
1550,excepcional
1553,excepcional
1554,excepcional
1556,excepcional
1557,excepcional
1558,excepcional
1560,excepcional
1561,buena ubicación!! Habitación muy cómoda y limpia con una hermosa vista.
1562,excepcional
1563,excepcional
1565,excepcional
1568,excepcional
1569,excepcional
1571,excepcional
1572,excepcional
1574,excepcional
1575,excepcional
1577,excepcional
1578,excepcional
1579,excepcional
1582,excepcional
1583,excepcional
1585,excepcional
1588,excepcional
1591,excepcional
1592,excepcional
1593,excepcional
1596,excepcional
1598,excepcional
1600,excepcional
1602,excepcional
1605,excepcional
1606,excepcional
1609,excepcional
1610,excepcional
1612,excepcional
1614,excepcional
1615,"excelente ubicación, cama cómoda"
1619,excepcional
1620,excepcional
1622,excepcional
1623,excepcional
1624,excepcional
1629,excepcional
1630,excepcional
1631,excepcional
1632,excepcional
1636,excepcional
1638,excepcional
1640,"Lugar limpio, personal amable y profesional, buena comida."
1641,excepcional
1642,excepcional
1646,excepcional
1649,excepcional
1650,excepcional
1651,excepcional
1652,excepcional
1655,excepcional
1656,excepcional
1657,excepcional
1659,excepcional
1660,excepcional
1665,excepcional
1666,excepcional
1690,excepcional
1692,excepcional
1709,BIEN
1710,BIEN
1712,BIEN
1713,BIEN
1714,BIEN
1715,BIEN
1716,BIEN
1717,BIEN
1718,BIEN
1719,BIEN
1720,BIEN
1721,BIEN
1722,aceptable
1724,BIEN
1725,BIEN
1726,BIEN
1727,BIEN
1728,BIEN
1729,aceptable
1730,BIEN
1738,excepcional
1739,excepcional
1742,excepcional
1744,excepcional
1751,excepcional
1753,excepcional
1756,excepcional
1757,excepcional
1758,excepcional
1759,excepcional
1765,excepcional
1771,excepcional
1772,excepcional
1774,excepcional
1777,excepcional
1778,excepcional
1779,excepcional
1780,excepcional
1784,excepcional
1785,excepcional
1788,excepcional
1790,excepcional
1791,excepcional
